customer_id,acc_number,first_name,last_name,date_of_birth,address,state,city,phone_number,email_address,age,marital_status,number_of_dependents,occupation,employment_status,annual_income,income_sources
1,228320000000,Sahil,Swamy,31-Dec-81,"33/291
Thaman Chowk, Ghaziabad 277633",Tripura,Howrah,7767016378,dsawhney@example.com,42,divorced,5,"Editor, magazine features",employed,570702,Business
2,164107000000,Aayush,Dara,31-Jan-94,"H.No. 34, Loyal Road, Tinsukia-889664",Madhya Pradesh,Tiruvottiyur,5697302450,buchadira@example.net,30,divorced,2,Fashion designer,employed,559440,Salary
3,503479000000,Parinaaz,Srinivas,20-Jun-50,"H.No. 90
Subramaniam Nagar
Nanded-591789",Tamil Nadu,Bhiwandi,4832386015,dinbadal@example.org,74,married,3,Microbiologist,employed,525534,Salary
4,709892000000,Parinaaz,Bajaj,08-Jul-89,"364, Sunder Zila, Suryapet 373559",Uttarakhand,Ambattur,3439441124,yuvraj-tailor@example.com,35,divorced,1,Biomedical scientist,unemployed,1028811,Business
5,708475000000,Taimur,Sandal,24-Dec-95,"175
Kaul Marg, Ghaziabad-657854",Uttar Pradesh,Uluberia,4982056997,garaojas@example.org,28,divorced,2,Pensions consultant,self-employed,721950,Salary
6,669114000000,Zeeshan,Saran,11-Apr-80,"H.No. 26
Bhatt Marg
Bokaro 110651",Nagaland,Bathinda,5913399317,karpepurab@example.net,44,married,4,Commissioning editor,employed,1066671,Salary
7,925412000000,Taimur,Yogi,20-Mar-88,"94/36
Sani Road
Berhampore-504752",Sikkim,Berhampore,4950406079,deshmukhmisha@example.net,36,divorced,4,Retail manager,employed,1863754,Business
8,990044000000,Aaryahi,Khalsa,28-Jul-04,"88/760
Bava, Kochi-880879",Kerala,Rampur,5973460174,ichand@example.net,20,divorced,3,Nature conservation officer,self-employed,1144515,Business
9,451686000000,Aarna,Rama,04-Apr-67,"771, Khalsa Road
Jehanabad 617951",Maharashtra,Ramgarh,2974192103,lankayasmin@example.net,57,single,4,Information systems manager,employed,1928275,Business
10,367528000000,Tejas,Ratta,11-Aug-92,"309
Som Marg, Bhagalpur-399577",Chhattisgarh,Kottayam,4674037225,pihuraj@example.org,32,single,3,Animal nutritionist,employed,1052050,Salary
11,212694000000,Rati,Dass,05-Feb-82,"17/88
Gaba
Baranagar 739315",Nagaland,Uluberia,2901615120,xratta@example.com,42,single,3,Medical technical officer,employed,1036262,Salary
12,947899000000,Advika,Dyal,14-Nov-54,"63/514
Sen Chowk, Ambala-128611",Haryana,Udaipur,9551582570,gatik12@example.com,69,single,0,"Engineer, automotive",unemployed,1037685,Business
13,675981000000,Nitya,Kuruvilla,07-Feb-97,"H.No. 91, Chhabra Marg
Meerut 025912",Uttarakhand,Varanasi,3794784225,raghav36@example.com,27,married,4,Research scientist (medical),self-employed,483984,Salary
14,115110000000,Anika,Magar,03-Apr-85,"H.No. 063, Hari Nagar
Hosur-824190",Tripura,Machilipatnam,4459250934,chaudharidhanush@example.net,39,single,2,Call centre manager,employed,1801744,Business
15,525026000000,Yasmin,Dara,23-May-70,"H.No. 50, Lala Chowk
Khammam-803843",Haryana,Srinagar,5551187102,lvaidya@example.com,54,married,0,Market researcher,self-employed,852149,Salary
16,599009000000,Madhup,Bassi,10-Apr-56,"H.No. 42, Lal Chowk
Rajkot-147304",Odisha,Tirunelveli,6754875289,rvarghese@example.com,68,single,3,"Geologist, wellsite",employed,1535851,Salary
17,348800000000,Kiara,Chad,07-Aug-62,"H.No. 87, Dutt Chowk, Nagpur 077200",Jharkhand,Salem,5676730359,ahana-70@example.com,62,married,2,"Producer, television/film/video",self-employed,860243,Salary
18,145524000000,Devansh,Solanki,20-Aug-66,"69, Bhalla Ganj
Parbhani-135046",Nagaland,Lucknow,5497289588,vaibhav25@example.org,57,married,1,"Sales professional, IT",self-employed,320763,Business
19,576203000000,Jivin,Sodhi,23-Oct-91,"H.No. 961, Kalita Road
Panchkula-671624",Assam,Bathinda,2183891054,zachariahkeya@example.net,32,single,2,Dance movement psychotherapist,unemployed,1782494,Salary
20,521792000000,Shlok,Sekhon,22-Sep-66,"77, Bhagat Zila
Khandwa-027508",Manipur,Thrissur,7785620763,nehmat41@example.net,57,married,4,"Lighting technician, broadcasting/film/video",unemployed,1686682,Business
21,862135000000,Dhanuk,Sagar,31-Jan-59,"173
Raja Street, Suryapet-160137",Madhya Pradesh,Ghaziabad,6748385917,madhupsahni@example.net,65,married,2,Environmental consultant,employed,1877472,Salary
22,243010000000,Stuvan,Madan,13-Feb-81,"H.No. 53
Bava Street
Rajpur Sonarpur 108164",Kerala,Nadiad,1392955018,nboase@example.org,43,married,5,"Investment banker, corporate",self-employed,1767622,Salary
23,264673000000,Aaryahi,Sharaf,20-Feb-04,"H.No. 12, Swamy Nagar, Bareilly 168324",Assam,Sasaram,3735713615,isood@example.org,20,divorced,0,Public relations officer,self-employed,1424029,Salary
