Customer_ID,Name,Surname,Mobile_No,Email_ID,Age,Marital_Status,Employment_Status,Annual_Income,Total_credit_Accounts,Account_Age_Years,Loan_Amount,On_Time_Payments,Late_Payments,Missed_Payments,Total_Hard_Enquiries,Total_credit_limit,Total_credit_balance,Total_Debt
1,Ashley,Tran,5280316229,alejandramiller@example.org,50,married,unemployed,58763,9,29,317552,43,25,6,14,196608,113303,59347
2,Mercedes,Mccann,580720048,courtneybowers@example.com,19,divorced,unemployed,152609,6,7,230726,2,10,1,4,448702,171148,97301
3,Doris,White,5371488574,jasonryan@example.com,45,married,self-employed,182897,5,11,218306,89,18,8,5,244318,118987,116838
4,Erika,Ortiz,1291882401,robertcarroll@example.com,25,divorced,unemployed,26875,3,2,300597,59,0,9,15,442813,236168,111073
5,Julie,Norris,8433918644,danielbrown@example.org,39,married,employed,71886,1,5,488342,17,25,20,12,407188,25489,40338
6,Melissa,Munoz,8155209054,hansenkatherine@example.net,24,divorced,employed,104907,9,27,351744,65,33,12,13,84149,53780,16828
7,Ronald,Palmer,2870512593,dakotaclark@example.org,47,married,self-employed,129107,10,14,384055,52,39,15,17,432027,184234,84982
8,Lisa,Fox,8467798028,elizabethmorgan@example.com,62,single,unemployed,63280,9,11,260732,94,0,15,13,299603,145227,118516
9,Monique,Gonzales,9158564144,donna94@example.net,21,single,unemployed,31981,9,25,276684,54,48,3,19,455854,1893,142494
10,Jacqueline,Mendoza,5153225592,stevebush@example.net,45,married,employed,40818,5,14,343608,24,23,15,9,118978,8486,186917
11,Rachel,Price,2789920843,natalie79@example.com,33,divorced,self-employed,166969,9,10,59978,82,35,18,20,128176,106711,38250
12,Michelle,Harris,6222032946,christina93@example.net,27,single,employed,164743,1,25,137707,99,6,16,4,142768,5369,127373
13,Derek,Rivera,8504027808,edward92@example.com,21,married,self-employed,26367,9,20,151144,83,47,8,9,482063,219731,105050
14,David,Moore,10551073,simmonsjohn@example.com,54,single,self-employed,62580,2,18,497575,92,2,14,0,122557,58450,146564
15,Francisco,Robles,2043244255,gonzalezdonald@example.com,20,divorced,self-employed,92818,2,16,91440,19,17,4,2,176589,138727,15572
16,Angela,Villanueva,5875481609,emily13@example.org,51,divorced,self-employed,83612,3,26,421880,38,3,19,19,357414,222567,50526
17,Elizabeth,Tucker,9727341760,bthompson@example.com,31,single,self-employed,57518,1,25,87985,10,9,11,1,6044,2735,15365
18,Robert,Murray,1625279234,matthewstonya@example.com,47,single,employed,183076,10,5,110760,16,11,10,10,203111,132192,84818
19,Danny,Hernandez,3757757349,benjamindavis@example.com,28,single,unemployed,159331,8,10,265695,88,23,17,17,479921,403294,171253
20,Richard,Johnson,6215223180,ccordova@example.com,48,divorced,self-employed,152964,2,17,166529,80,15,1,19,132308,56872,138121
21,Kelsey,Scott,2658639157,stephen90@example.com,32,divorced,unemployed,90419,8,3,392374,62,6,5,8,256033,223753,21118
22,Alexandra,Johnson,5802655454,zwashington@example.net,37,married,unemployed,108801,2,22,270088,19,17,19,7,267588,201160,152621
23,Anthony,Burton,1585684224,alexanderjames@example.org,55,married,self-employed,199269,6,16,314700,82,42,9,7,21079,8418,58634
24,Megan,Wilcox,8463377199,tara01@example.com,65,married,unemployed,106501,6,5,82448,64,38,10,2,164519,114224,72448
25,Laura,Mcdowell,1674105456,taylor36@example.com,49,divorced,unemployed,135020,6,25,393145,66,49,10,14,107920,34249,40211
26,Sergio,Lewis,729448026,wcampos@example.org,54,single,self-employed,161610,1,20,474464,9,1,6,16,497325,329498,167617
27,Ronald,Knight,5364613332,adam06@example.org,66,married,self-employed,143649,4,14,134693,93,17,1,10,496279,294664,189279
28,Nicole,Smith,4559252746,harriseric@example.com,25,married,self-employed,60157,3,28,343188,93,5,5,15,389098,337425,58704
29,Elizabeth,Gutierrez,2254769449,darrylwilliams@example.net,54,married,unemployed,55003,6,11,443399,57,37,4,15,213757,106684,48626
30,Dylan,Johnson,7486985589,joseph85@example.net,25,married,unemployed,159741,2,5,321632,100,21,14,20,221949,127937,54916
31,Paul,Jacobs,8112447046,evan24@example.net,37,married,unemployed,106228,7,1,242481,4,11,13,1,369558,224244,72374
32,Mark,Ramirez,2329257639,krystalkrueger@example.net,21,single,unemployed,76083,7,15,326458,71,8,17,11,90796,58214,58663
33,Rita,Hutchinson,5495155607,georgedean@example.org,57,divorced,employed,102206,6,18,421304,0,48,14,6,365956,253821,13647
34,Shawn,Boyd,5671357257,jgonzalez@example.net,43,divorced,employed,20761,6,12,128285,72,48,6,19,423271,348379,137196
35,Tina,King,6872334636,davisnancy@example.org,62,single,unemployed,122185,8,13,358400,86,8,11,1,207293,140025,174185
36,Samantha,Bernard,293210169,maxwelljulie@example.com,23,divorced,unemployed,32668,4,16,420480,9,35,19,19,120240,27774,183246
37,Melanie,Long,7650648300,marissa30@example.com,62,divorced,self-employed,73604,2,15,13814,94,33,12,17,467790,82934,127101
38,Richard,Cannon,8972044144,sean35@example.net,64,single,employed,23697,7,16,63841,22,43,6,9,475473,248067,85853
39,Maria,Armstrong,2862674721,jonhall@example.net,52,divorced,employed,91402,1,20,478509,94,7,12,2,175981,100012,127895
40,Jennifer,Whitaker,2174318555,williamsonpatrick@example.com,45,married,self-employed,62254,2,9,61871,89,48,19,14,431341,287725,84563
41,Ana,Ruiz,620448350,sarahhanson@example.org,70,divorced,employed,79326,4,18,401065,10,7,17,4,480043,294569,32471
42,Maria,West,3574544747,traceymolina@example.org,64,single,employed,116279,10,26,351711,80,0,17,18,22221,3767,121861
